0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,25,2000.0,19.2,4,33,14,42.4,1.72,0.73,0.12,0.29,0,0,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19,2006.0,1.3,0,0,0,,0.0,0.0,,,0,0,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20,2006.0,5.3,2,15,4,26.7,2.85,0.76,0.13,0.5,0,0,Matches
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26,1999.0,0.7,0,3,1,33.3,4.43,1.48,0.0,0.0,0,0,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26,1999.0,10.5,2,11,5,45.5,1.05,0.48,0.0,0.0,2,2,Matches
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,32,1993.0,10.1,1,4,1,25.0,0.4,0.1,0.25,1.0,0,0,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000.0,7.4,0,0,0,,0.0,0.0,,,0,0,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999.0,7.3,0,3,1,33.3,0.41,0.14,0.0,0.0,0,0,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,21,2004.0,0.3,0,0,0,,0.0,0.0,,,0,0,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33,1993.0,21.2,1,19,5,26.3,0.89,0.24,0.05,0.2,0,0,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,2003.0,19.8,4,60,16,26.7,3.03,0.81,0.07,0.25,0,1,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000.0,14.9,3,12,4,33.3,0.81,0.27,0.25,0.75,0,0,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,26,2000.0,5.7,0,7,2,28.6,1.23,0.35,0.0,0.0,0,0,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26,1999.0,10.0,0,7,1,14.3,0.7,0.1,0.0,0.0,0,0,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28,1997.0,1.4,1,4,2,50.0,2.83,1.42,0.25,0.5,0,0,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24,2001.0,5.8,0,6,0,0.0,1.03,0.0,0.0,,0,0,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23,2003.0,5.3,1,11,5,45.5,2.07,0.94,0.09,0.2,0,0,Matches
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21,2004.0,0.1,0,0,0,,0.0,0.0,,,0,0,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38,1988.0,10.8,0,3,1,33.3,0.28,0.09,0.0,0.0,0,0,Matches
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27,1998.0,13.2,5,39,16,41.0,2.96,1.21,0.13,0.31,0,0,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19,2006.0,6.4,1,3,2,66.7,0.47,0.31,0.33,0.5,0,0,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26,2000.0,14.6,6,41,22,53.7,2.8,1.5,0.1,0.18,2,2,Matches
23,Che Adams,sct SCO,FW,Torino,it Serie A,29,1996.0,16.1,4,43,13,30.2,2.68,0.81,0.09,0.31,0,0,Matches
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27,1999.0,14.0,2,8,6,75.0,0.57,0.43,0.25,0.33,0,0,Matches
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24,2001.0,5.0,1,8,3,37.5,1.61,0.61,0.13,0.33,0,0,Matches
26,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28,1997.0,8.0,0,2,0,0.0,0.25,0.0,0.0,,0,0,Matches
27,Jayden Addai,nl NED,MF,Como,it Serie A,20,2005.0,7.6,3,13,6,46.2,1.71,0.79,0.23,0.5,0,0,Matches
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24,2002.0,10.3,5,23,11,47.8,2.23,1.07,0.22,0.45,0,0,Matches
29,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24,2002.0,7.3,1,6,2,33.3,0.83,0.28,0.17,0.5,0,0,Matches
