0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,25_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25,2000.0,25,19,1654,18.4,4,3,7,4,0,0,1,0,0.22,0.16,0.38,0.22,0.38,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19,2006.0,2,1,120,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20,2006.0,14,3,462,5.1,2,0,2,2,0,0,0,0,0.39,0.0,0.39,0.39,0.39,Matches
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26,1999.0,2,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26,1999.0,13,11,943,10.5,2,0,2,0,2,2,1,0,0.19,0.0,0.19,0.0,0.0,Matches
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32,1993.0,14,10,845,9.4,1,0,1,1,0,0,4,1,0.11,0.0,0.11,0.11,0.11,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25,2000.0,14,9,663,7.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26,1999.0,15,5,581,6.5,0,2,2,0,0,0,0,0,0.0,0.31,0.31,0.0,0.31,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,21,2004.0,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33,1993.0,21,21,1822,20.2,1,0,1,1,0,0,6,0,0.05,0.0,0.05,0.05,0.05,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22,2003.0,22,19,1784,19.8,4,2,6,4,0,1,5,0,0.2,0.1,0.3,0.2,0.3,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25,2000.0,15,15,1248,13.9,3,0,3,3,0,0,4,1,0.22,0.0,0.22,0.22,0.22,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25,2000.0,15,6,511,5.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26,1999.0,12,9,837,9.3,0,1,1,0,0,0,6,0,0.0,0.11,0.11,0.0,0.11,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28,1997.0,3,1,111,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24,2001.0,8,7,526,5.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23,2003.0,15,5,453,5.0,1,0,1,1,0,0,1,0,0.2,0.0,0.2,0.2,0.2,Matches
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21,2004.0,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38,1988.0,13,11,973,10.8,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,Matches
