Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25.0,2000,18.4,,21,,,,,,,,,,12,,,,Matches
2,Zach Abbott,eng ENG,DF,Nottingham Forest,eng Premier League,19.0,2006,1.3,,2,,,,,,,,,,2,,,,Matches
3,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,20.0,2006,5.1,,0,,,,,,,,,,1,,,,Matches
4,Himad Abdelli,dz ALG,"FW,MF",Marseille,fr Ligue 1,26.0,1999,0.5,,0,,,,,,,,,,0,,,,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26.0,1999,10.5,,17,,,,,,,,,,13,,,,Matches
6,Ali Abdi,tn TUN,"MF,DF",Nice,fr Ligue 1,32.0,1993,9.4,,8,,,,,,,,,,8,,,,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,7.4,,7,,,,,,,,,,9,,,,Matches
8,Saud Abdulhamid,sa KSA,MF,Lens,fr Ligue 1,26.0,1999,6.5,,11,,,,,,,,,,3,,,,Matches
9,Tay Abed,il ISR,MF,Levante,es La Liga,21.0,2004,0.0,,0,,,,,,,,,,0,,,,Matches
10,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,33.0,1993,20.2,,20,,,,,,,,,,22,,,,Matches
11,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22.0,2003,19.8,,11,,,,,,,,,,5,,,,Matches
12,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,25.0,2000,13.9,,12,,,,,,,,,,5,,,,Matches
13,Zakaria Aboukhlal,ma MAR,MF,Torino,it Serie A,25.0,2000,5.7,,12,,,,,,,,,,1,,,,Matches
14,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,9.3,,13,,,,,,,,,,12,,,,Matches
15,Tammy Abraham,eng ENG,FW,Aston Villa,eng Premier League,28.0,1997,1.2,,0,,,,,,,,,,0,,,,Matches
16,Francis Abu,gh GHA,MF,Toulouse,fr Ligue 1,24.0,2001,5.8,,12,,,,,,,,,,8,,,,Matches
17,Giorgi Abuashvili,ge GEO,"MF,FW",Metz,fr Ligue 1,23.0,2003,5.0,,6,,,,,,,,,,3,,,,Matches
18,Mathieu Acapandié,mg MAD,DF,Nantes,fr Ligue 1,21.0,2004,0.1,,0,,,,,,,,,,0,,,,Matches
19,Francesco Acerbi,it ITA,DF,Inter,it Serie A,38.0,1988,10.8,,8,,,,,,,,,,15,,,,Matches
20,Ragnar Ache,de GER,FW,Köln,de Bundesliga,27.0,1998,12.3,,5,,,,,,,,,,2,,,,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,19.0,2006,6.3,,6,,,,,,,,,,11,,,,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,26.0,2000,13.7,,2,,,,,,,,,,0,,,,Matches
23,Che Adams,sct SCO,FW,Torino,it Serie A,29.0,1996,16.1,,7,,,,,,,,,,1,,,,Matches
24,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,27.0,1999,13.3,,17,,,,,,,,,,18,,,,Matches
25,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,24.0,2001,5.0,,6,,,,,,,,,,5,,,,Matches
26,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28.0,1997,7.9,,4,,,,,,,,,,8,,,,Matches
27,Jayden Addai,nl NED,MF,Como,it Serie A,20.0,2005,7.6,,2,,,,,,,,,,2,,,,Matches
28,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,24.0,2002,10.1,,3,,,,,,,,,,4,,,,Matches
29,Simon Adingra,ci CIV,"MF,FW",Sunderland,eng Premier League,24.0,2002,7.3,,8,,,,,,,,,,2,,,,Matches
30,Simon Adingra,ci CIV,MF,Monaco,fr Ligue 1,24.0,2002,1.8,,2,,,,,,,,,,1,,,,Matches
31,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23.0,2002,2.5,,4,,,,,,,,,,2,,,,Matches
32,Jonas Adjetey,gh GHA,DF,Wolfsburg,de Bundesliga,22.0,2003,0.0,,0,,,,,,,,,,0,,,,Matches
33,Amine Adli,ma MAR,MF,Bournemouth,eng Premier League,25.0,2000,9.4,,14,,,,,,,,,,4,,,,Matches
34,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19.0,2006,1.8,,2,,,,,,,,,,2,,,,Matches
35,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,29.0,1997,22.0,,31,,,,,,,,,,22,,,,Matches
36,David Affengruber,at AUT,DF,Elche,es La Liga,24.0,2001,20.1,,25,,,,,,,,,,30,,,,Matches
37,Oladapo Afolayan,eng ENG,MF,St Pauli,de Bundesliga,28.0,1998,1.7,,2,,,,,,,,,,0,,,,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28.0,1997,12.2,,21,,,,,,,,,,14,,,,Matches
39,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000,18.0,,1,,,,,,,,,,0,,,,Matches
40,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,24.0,2002,18.5,,19,,,,,,,,,,29,,,,Matches
41,Felix Agu,ng NGA,"DF,MF",Werder Bremen,de Bundesliga,26.0,1999,6.4,,12,,,,,,,,,,10,,,,Matches
42,Marc Aguado,es ESP,MF,Elche,es La Liga,25.0,2000,17.6,,20,,,,,,,,,,31,,,,Matches
43,Pablo Agudín,es ESP,MF,Oviedo,es La Liga,18.0,2007,0.8,,0,,,,,,,,,,0,,,,Matches
44,Nayef Aguerd,ma MAR,DF,West Ham United,eng Premier League,29.0,1996,2.0,,0,,,,,,,,,,1,,,,Matches
45,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29.0,1996,13.5,,14,,,,,,,,,,19,,,,Matches
46,Ruben Aguilar,fr FRA,MF,Lens,fr Ligue 1,32.0,1993,16.6,,22,,,,,,,,,,21,,,,Matches
47,Naouirou Ahamada,fr FRA,MF,Auxerre,fr Ligue 1,23.0,2002,3.2,,5,,,,,,,,,,1,,,,Matches
48,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17.0,2008,11.2,,14,,,,,,,,,,15,,,,Matches
49,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,31.0,1995,9.7,,24,,,,,,,,,,11,,,,Matches
50,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30.0,1995,2.2,,0,,,,,,,,,,4,,,,Matches
51,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,29.0,1996,9.8,,8,,,,,,,,,,18,,,,Matches
